,country,major_power_source,AvgPrice,year,population,co2,co2_per_capita,gas_co2_per_capita
0,afghanistan,Hydropower ,0.065,2021.0,40099460.0,11874000.0,0.296,0.006
1,albania,Hydropower ,0.116,2021.0,2854710.0,4619000.0,1.618,0.053
2,algeria,Gas,0.033,2021.0,44177964.0,176269000.0,3.99,2.1
4,angola,Hydropower ,0.013,2021.0,34503776.0,21363000.0,0.619,0.086
5,antigua and barbuda,Oil,0.367,2021.0,93229.0,469000.0,5.027,0.0
6,argentina,Gas,0.053,2021.0,45276788.0,186448000.0,4.118,2.083
7,armenia,Gas,0.072,2021.0,2790971.0,6806000.0,2.439,1.957
8,aruba,Oil,0.178,2021.0,106543.0,858000.0,8.054,0.0
9,australia,Coal,0.172,2021.0,25921094.0,391187000.0,15.091,2.98
10,austria,Hydropower ,0.196,2021.0,8922086.0,64626000.00000001,7.243,1.999
11,azerbaijan,Gas,0.051,2021.0,10312992.0,38493000.0,3.732,2.524
12,bahamas,Oil,0.285,2021.0,407920.0,2386000.0,5.85,0.0
13,bahrain,Gas,0.045,2021.0,1463266.0,39016000.0,26.664,23.643
14,bangladesh,Gas,0.08,2021.0,169356240.0,93176000.0,0.55,0.347
15,barbados,Oil,0.332,2021.0,281204.0,1125000.0,4.002,0.205
16,belarus,Gas,0.069,2021.0,9578172.0,59602000.0,6.223,3.764
17,belgium,Nuclear,0.244,2021.0,11611416.0,95722000.0,8.244,3.081
18,belize,Hydropower ,0.194,2021.0,400037.0,689000.0,1.723,0.0
19,benin,Gas,0.195,2021.0,12996901.0,7756000.0,0.597,0.009
20,bermuda,Oil,0.342,2021.0,64213.0,548000.0,8.533,0.0
21,bhutan,Hydropower ,0.036,2021.0,777500.0,1522000.0,1.958,0.0
22,bolivia,Gas,0.109,2021.0,12079474.0,23322000.0,1.931,0.706
23,bosnia and herzegovina,Coal,0.085,2021.0,3270948.0,13566000.0,4.148,0.149
24,botswana,Coal,0.096,2021.0,2588424.0,6500000.0,2.511,0.0
25,brazil,Hydropower ,0.099,2021.0,214326224.0,488881000.0,2.281,0.354
26,british virgin islands,Oil,0.16024468085106383,2021.0,31145.0,159000.0,5.09,0.0
27,brunei,Gas,0.16024468085106383,2021.0,445382.0,10481000.0,23.532,13.047
28,bulgaria,Nuclear,0.124,2021.0,6885864.0,42560000.0,6.181,0.88
29,burkina faso,Oil,0.218,2021.0,22100690.0,5698000.0,0.258,0.0
30,burundi,Hydropower ,0.172,2021.0,12551215.0,693000.0,0.055,0.0
31,cambodia,Hydropower ,0.134,2021.0,16589031.0,19029000.0,1.147,0.0
32,cameroon,Hydropower ,0.136,2021.0,27198632.0,9297000.0,0.342,0.059
33,canada,Hydropower ,0.124,2021.0,38155012.0,545635000.0,14.3,6.169
35,central african republic,Hydropower ,0.143,2021.0,5457165.0,227000.0,0.042,0.0
36,chad,Oil,0.174,2021.0,17179744.0,1940000.0,0.113,0.0
37,chile,Hydropower ,0.151,2021.0,19493184.0,85447000.0,4.383,0.595
38,china,Coal,0.084,2021.0,1425893504.0,11472368000.0,8.046,0.543
39,colombia,Hydropower ,0.139,2021.0,51516560.0,91703000.0,1.78,0.451
40,comoros,Oil,0.305,2021.0,821632.0,298000.0,0.363,0.0
41,congo,Gas,0.093,2021.0,5835814.0,7464000.0,1.279,0.393
42,cook islands,Oil,0.523,2021.0,17028.0,91000.0,5.368,0.0
43,costa rica,Hydropower ,0.11,2021.0,5153959.0,7820000.0,1.517,0.0
44,croatia,Hydropower ,0.099,2021.0,4060139.0,17701000.0,4.36,1.308
45,cuba,Oil,0.386,2021.0,11256373.0,22057000.0,1.96,0.196
46,cyprus,Oil,0.208,2021.0,1244193.0,7600000.0,6.109,0.0
47,czechia,Coal,0.16024468085106383,2021.0,10510748.0,97138000.0,9.242,1.777
48,democratic republic of congo,Hydropower ,0.16024468085106383,2021.0,95894120.0,2607000.0,0.027,0.0
49,denmark,Wind,0.35,2021.0,5854246.0,29577000.0,5.052,0.816
50,djibouti,Oil,0.289,2021.0,1105562.0,379000.0,0.343,0.0
51,dominica,Oil,0.232,2021.0,72435.0,159000.0,2.189,0.0
52,dominican republic,Oil,0.228,2021.0,11117873.0,28922000.0,2.601,0.269
53,ecuador,Hydropower ,0.105,2021.0,17797736.0,41322000.0,2.322,0.058
54,egypt,Gas,0.041,2021.0,109262184.0,249624000.0,2.285,1.156
55,el salvador,Other Renewable Resource,0.229,2021.0,6314165.0,7204000.0,1.141,0.0
56,equatorial guinea,Gas,0.158,2021.0,1634473.0,5225000.0,3.197,2.22
57,eritrea,Oil,0.16024468085106383,2021.0,3620324.0,821000.0,0.227,0.0
58,estonia,Oil,0.125,2021.0,1328704.0,10449000.0,7.864,0.688
59,ethiopia,Hydropower ,0.035,2021.0,120283024.0,17793000.0,0.148,0.0
61,fiji,Hydropower ,0.144,2021.0,924615.0,1470000.0,1.59,0.0
62,finland,Nuclear,0.138,2021.0,5535982.0,37602000.0,6.792,0.771
63,france,Nuclear,0.173,2021.0,64531448.0,305964000.0,4.741,1.326
64,french guiana,Hydropower ,0.166,2021.0,297462.0,651000.0,2.19,0.0
65,french polynesia,Oil,0.259,2021.0,304038.0,950000.0,3.124,0.0
66,gabon,Gas,0.183,2021.0,2341185.0,5712000.0,2.44,0.477
67,gambia,Oil,0.2,2021.0,2639922.0,656000.0,0.248,0.0
68,georgia,Hydropower ,0.088,2021.0,3757984.0,11010000.0,2.93,1.607
69,germany,Wind,0.323,2021.0,83408560.0,674754000.0,8.09,2.08
70,ghana,Gas,0.125,2021.0,32833036.0,21313000.0,0.649,0.145
72,greece,Gas,0.167,2021.0,10445368.0,56309000.0,5.391,1.163
73,greenland,Hydropower ,0.25,2021.0,56266.0,511000.0,9.076,0.0
74,grenada,Oil,0.291,2021.0,124624.0,319000.0,2.561,0.0
75,guadeloupe,Oil,0.137,2021.0,396057.0,2291000.0,5.785,0.0
77,guatemala,Hydropower ,0.164,2021.0,17608484.0,20327000.0,1.154,0.0
78,guinea,Oil,0.033,2021.0,13531909.0,4842000.0,0.358,0.0
79,guinea-bissau,Oil,0.323,2021.0,2060730.0,352000.0,0.171,0.0
80,guyana,Oil,0.237,2021.0,804571.0,3088000.0,3.838,0.0
81,haiti,Oil,0.265,2021.0,11447575.0,2876000.0,0.251,0.0
82,honduras,Hydropower ,0.156,2021.0,10278346.0,10898000.0,1.06,0.0
83,hong kong,Oil,0.173,2021.0,7494580.0,31664000.0,4.225,1.299
84,hungary,Nuclear,0.1,2021.0,9709784.0,48455000.0,4.99,2.277
85,iceland,Hydropower ,0.156,2021.0,370338.0,3375000.0,9.113,0.001
86,india,Coal,0.092,2021.0,1407563904.0,2709684000.0,1.925,0.095
87,indonesia,Coal,0.101,2021.0,273753184.0,619278000.0,2.262,0.271
88,iran,Gas,0.044,2021.0,87923432.0,748879000.0,8.517,5.311
89,iraq,Gas,0.039,2021.0,43533592.0,185581000.0,4.263,0.69
90,ireland,Gas,0.213,2021.0,4986525.0,37540000.0,7.528,2.106
91,israel,Gas,0.136,2021.0,8900057.0,54529000.0,6.127,2.185
92,italy,Gas,0.201,2021.0,59240336.0,328687000.0,5.548,2.548
93,jamaica,Oil,0.25,2021.0,2827701.0,7690000.0,2.719,0.202
94,japan,Gas,0.211,2021.0,124612528.0,1067398000.0,8.566,1.778
95,jordan,Gas,0.161,2021.0,11148288.0,25594000.0,2.296,0.736
96,kazakhstan,Coal,0.039,2021.0,19196468.0,276683000.0,14.413,1.458
97,kenya,Other Renewable Resource,0.161,2021.0,53005616.0,19875000.0,0.375,0.0
98,kiribati,Oil,0.285,2021.0,128883.0,72000.0,0.555,0.0
99,kuwait,Gas,0.033,2021.0,4250111.0,106134000.0,24.972,11.721
100,kyrgyzstan,Hydropower ,0.017,2021.0,6527742.0,9308000.0,1.426,0.106
101,laos,Hydropower ,0.16024468085106383,2021.0,7425055.0,20778000.0,2.798,0.0
102,latvia,Hydropower,0.154,2021.0,1873926.0,7266000.0,3.878,1.212
103,lebanon,Oil,0.058,2021.0,5592626.0,24959000.0,4.463,0.0
104,lesotho,Hydropower ,0.081,2021.0,2281464.0,2282000.0,1.0,0.0
105,liberia,Oil,0.299,2021.0,5193422.0,1195000.0,0.23,0.0
106,libya,Gas,0.007,2021.0,6735280.0,74525000.0,11.065,2.567
107,lithuania,Gas,0.173,2021.0,2786652.0,13881000.0,4.981,1.437
108,luxembourg,Wind,0.151,2021.0,639330.0,8355000.0,13.068,2.458
109,madagascar,Hydropower ,0.137,2021.0,28915652.0,4244000.0,0.147,0.0
110,malawi,Hydropower ,0.092,2021.0,19889742.0,1552000.0,0.078,0.0
111,malaysia,Coal,0.07,2021.0,33573872.0,256049000.0,7.626,2.442
112,maldives,Oil,0.162,2021.0,521469.0,2118000.0,4.062,0.0
113,mali,Oil,0.375,2021.0,21904990.0,4170000.0,0.19,0.0
114,malta,Gas,0.181,2021.0,526751.0,1724000.0,3.273,1.601
115,martinique,Oil,0.164,2021.0,368799.0,2100000.0,5.695,0.0
116,mauritania,Oil,0.128,2021.0,4614981.0,4118000.000000001,0.892,0.0
117,mauritius,Oil,0.107,2021.0,1298922.0,4472000.0,3.443,0.0
118,mexico,Gas,0.052,2021.0,126705136.0,407205000.0,3.214,1.243
119,moldova,Coal,0.085,2021.0,3061509.0,5602000.0,1.83,0.632
120,mongolia,Coal,0.041,2021.0,3347782.0,50316000.0,15.03,0.0
121,montenegro,Hydropower ,0.116,2021.0,627856.0,1751000.0,2.789,0.0
122,montserrat,Oil,0.285,2021.0,4438.0,21000.0,4.659,0.0
123,morocco,Coal,0.131,2021.0,37076588.0,70578000.0,1.904,0.042
124,mozambique,Hydropower ,0.104,2021.0,32077074.0,7156000.0,0.223,0.06
125,namibia,Hydropower ,0.1,2021.0,2530150.0,4015000.0,1.587,0.0
126,nauru,Oil,0.228,2021.0,12533.0,60000.0,4.756,0.0
127,nepal,Hydropower ,0.079,2021.0,30034988.0,14173000.0,0.472,0.0
128,netherlands,Gas,0.16024468085106383,2021.0,17501696.0,141045000.0,8.059,3.89
129,new caledonia,Oil,0.091,2021.0,287809.0,5496000.0,19.097,0.0
130,new zealand,Hydropower ,0.153,2021.0,5129730.0,33790000.0,6.587,1.298
131,nicaragua,Other Renewable Resource,0.213,2021.0,6850546.0,5060000.0,0.739,0.0
132,niger,Oil,0.117,2021.0,25252722.0,2699000.0,0.107,0.0
133,nigeria,Gas,0.139,2021.0,213401328.0,136987000.0,0.642,0.19
134,niue,Oil,0.443,2021.0,1957.0,12000.0,6.092,0.0
135,north korea,Hydropower ,0.16024468085106383,2021.0,25971910.0,56380000.0,2.171,0.0
136,north macedonia,Hydropower ,0.16024468085106383,2021.0,2103329.0,6852000.0,3.257,0.344
137,norway,Hydropower ,0.093,2021.0,5403021.0,40919000.0,7.573,2.346
138,oman,Gas,0.052,2021.0,4520474.0,80991000.0,17.917,13.788
139,pakistan,Hydropower ,0.081,2021.0,231402112.0,229512000.0,0.992,0.326
140,palestine,Oil,0.16024468085106383,2021.0,5133393.0,3092000.0,0.602,0.0
141,panama,Hydropower ,0.149,2021.0,4351264.0,13032000.0,2.995,0.209
142,papua new guinea,Oil,0.197,2021.0,9949438.0,8510000.0,0.855,0.08
143,paraguay,Hydropower ,0.054,2021.0,6703802.0,8577000.0,1.279,0.0
144,peru,Hydropower ,0.08,2021.0,33715464.0,56282000.0,1.669,0.454
145,philippines,Coal,0.165,2021.0,113880336.0,144264000.0,1.267,0.058
146,poland,Coal,0.07,2021.0,38307724.0,328580000.0,8.577,1.059
147,portugal,Gas,0.201,2021.0,10290109.0,40797000.0,3.965,1.132
149,qatar,Gas,0.036,2021.0,2688239.0,95667000.0,35.587,31.073
150,reunion,Oil,0.16024468085106383,2021.0,966132.0,4103000.0,4.247,0.0
151,romania,Hydropower ,0.134,2021.0,19328558.0,79327000.0,4.104,1.32
152,russia,Gas,0.16024468085106383,2021.0,145102752.0,1755547000.0,12.099,6.031
153,rwanda,Hydropower ,0.206,2021.0,13461891.0,1755000.0,0.13,0.008
154,saint helena,Oil,0.612,2021.0,5428.0,14000.0,2.54,0.0
155,saint kitts and nevis,Oil,0.333,2021.0,47631.0,238000.0,4.992,0.0
156,saint lucia,Oil,0.272,2021.0,179663.0,486000.0,2.705,0.0
157,saint pierre and miquelon,Oil,0.16024468085106383,2021.0,5905.0,62000.0,10.505,0.0
158,saint vincent and the grenadines,Oil,0.185,2021.0,104340.0,214000.0,2.048,0.0
159,samoa,Oil,0.292,2021.0,218781.0,294000.0,1.344,0.0
160,sao tome and principe,Oil,0.16024468085106383,2021.0,223118.0,132000.0,0.592,0.0
161,saudi arabia,Gas,0.061,2021.0,35950396.0,672380000.0,18.703,7.512
162,senegal,Oil,0.179,2021.0,16876726.0,13598000.0,0.806,0.002
163,serbia,Coal,0.061,2021.0,7296771.0,30869000.0,4.23,0.712
164,seychelles,Oil,0.235,2021.0,106486.0,568000.0,5.337,0.0
165,sierra leone,Hydropower ,0.165,2021.0,8420642.0,1299000.0,0.154,0.0
166,singapore,Gas,0.195,2021.0,5941063.0,32507000.0,5.472,3.741
167,slovakia,Nuclear,0.1,2021.0,5447621.0,35308000.0,6.481,1.908
168,slovenia,Nuclear,0.173,2021.0,2119408.0,12549000.0,5.921,0.87
169,solomon islands,Oil,0.692,2021.0,707855.0,318000.0,0.449,0.0
170,somalia,Oil,0.412,2021.0,17065588.0,610000.0,0.036,0.0
171,south africa,Coal,0.076,2021.0,59392256.0,435929000.0,7.34,0.139
172,south korea,Coal,0.133,2021.0,51830136.0,616075000.0,11.886,2.446
173,south sudan,Oil,0.16024468085106383,2021.0,10748278.0,1582000.0,0.147,0.0
174,spain,Gas,0.199,2021.0,47486932.0,233650000.0,4.92,1.413
175,sri lanka,Hydropower ,0.064,2021.0,21773438.0,20781000.0,0.954,0.0
176,sudan,Hydropower ,0.014,2021.0,45657204.0,21038000.0,0.461,0.0
177,suriname,Hydropower ,0.065,2021.0,612989.0,2793000.0,4.557,0.017
178,sweden,Hydropower,0.141,2021.0,10467095.0,35849000.0,3.425,0.142
179,switzerland,Hydropower ,0.236,2021.0,8691409.0,34932000.0,4.019,0.832
180,syria,Oil,0.078,2021.0,21324366.0,27001000.0,1.266,0.321
181,taiwan,Coal,0.142,2021.0,23859904.0,282856000.0,11.855,2.309
182,tajikistan,Hydropower ,0.023,2021.0,9750078.0,10336000.0,1.06,0.032
183,tanzania,Gas,0.069,2021.0,63588332.0,13059000.0,0.205,0.033
184,thailand,Gas,0.107,2021.0,71601104.0,278496000.0,3.89,1.081
185,togo,Oil,0.144,2021.0,8644829.0,2342000.0,0.271,0.026
186,tonga,Oil,0.354,2021.0,106034.0,175000.0,1.649,0.0
187,trinidad and tobago,Gas,0.053,2021.0,1525671.0,36124000.0,23.677,21.306
188,tunisia,Gas,0.061,2021.0,12262949.0,31583000.0,2.575,1.116
189,turkey,Coal,0.071,2021.0,84775408.0,446204000.0,5.263,1.349
190,turkmenistan,Oil,0.16024468085106383,2021.0,6341850.0,83007000.0,13.089,9.265
191,turks and caicos islands,Oil,0.273,2021.0,45141.0,341000.0,7.558,0.0
192,uganda,Hydropower ,0.126,2021.0,45853780.0,5780000.0,0.126,0.0
193,ukraine,Nuclear,0.057,2021.0,43531424.0,201858000.0,4.637,1.242
194,united arab emirates,Gas,0.077,2021.0,9365149.0,204087000.0,21.792,13.901
195,united kingdom,Gas,0.251,2021.0,67281040.0,346773000.0,5.154,2.361
196,united states,Gas,0.109,2021.0,336997632.0,5007336000.0,14.859,4.858
198,uruguay,Wind,0.193,2021.0,3426265.0,6738000.0,1.967,0.046
199,uzbekistan,Gas,0.027,2021.0,34081452.0,121631000.0,3.569,2.822
200,vanuatu,Oil,0.591,2021.0,319146.0,175000.0,0.548,0.0
201,venezuela,Hydropower,0.16024468085106383,2021.0,28199862.0,79747000.0,2.828,1.146
202,vietnam,Coal,0.081,2021.0,97468024.0,326014000.0,3.345,0.14
203,yemen,Oil,0.036,2021.0,32981644.0,12477000.0,0.378,0.006
204,zambia,Hydropower,0.056,2021.0,19473132.0,7676000.0,0.394,0.0
205,zimbabwe,Hydropower,0.021,2021.0,15993525.0,11296000.0,0.706,0.0
0,Avg,Oil,0.15944301293702556,2021.0,39281137.01507538,181104321.6080402,4.619150753768844,1.3940603015075377
